Symbol,Volume
ADAI/ETH,1.768183870967742
RPL/ETH,0.05630645161290322
CDAI/ETH,0.12477741935483871
REP/ETH,2.4476829032258065
MKR/ETH,26.272645161290328
WBTC/ETH,4.082409677419355
WETH/ETH,3.2893129032258064
LINK/ETH,5.61924193548387
SNX/ETH,1.264249677419355
ANJ/ETH,30.537767741935486
BAT/ETH,0.412911935483871
KNC/ETH,0.2302529032258064
UBT/ETH,0.35639354838709675
TKN/ETH,8.220074193548387
XCHF/ETH,0.0
SPANK/ETH,0.09494354838709679
AMPL/ETH,1.4809709677419354
GNO/ETH,0.020402322258064515
RCN/ETH,0.03914290322580644
RLC/ETH,0.0015946412903225808
ZRX/ETH,0.5700836129032258
CEL/ETH,0.1686826774193549
BCDT/ETH,0.0
FUN/ETH,5.638635530967741
LEND/ETH,0.06730903483870969
TUSD/ETH,0.0015448677419354839
BNT/ETH,3.3030451612903233
LQDN/ETH,7.445161290322581e-06
DATA/ETH,2.776
SNT/ETH,0.9835216129032258
RDNN/ETH,0.0013129032258064517
RSR/ETH,0.07903325806451614
TNT/ETH,0.0
HEDG/ETH,0.19460612903225807
OCEAN/ETH,0.0
OXT/ETH,0.00014361290322580645
SALT/ETH,0.0009453870967741936
GENS/ETH,2.760674193548387
STORJ/ETH,0.001236646129032258
BAND/ETH,4.275493548387097
C20/ETH,0.0
DGX/ETH,1.4584593548387095
MLN/ETH,3.730764516129032
FOAM/ETH,0.14649161290322582
MET/ETH,0.00016477419354838708
MANA/ETH,0.036198411290322585
FXC/ETH,5.741935483870967e-05
HOLO/ETH,0.060493976129032255
GRID/ETH,1.2903225806451614e-15
ENJ/ETH,0.008100151612903225
TRYB/ETH,0.0
PAXG/ETH,0.0025990967741935486
NEXO/ETH,0.24930325806451614
BLT/ETH,0.2738422903225806
0XBTC/ETH,0.00042787096774193553
UMA/ETH,0.03617941935483871
HEX/ETH,6.523419354838712
USDC/ETH,213.67387096774192
DAI/ETH,258.98129032258066
